,Date,Close,Volume
5400,2014-05-02,375.0,1152
5401,2014-05-05,370.0,767
5402,2014-05-06,370.0,269
5403,2014-05-08,370.0,101
5404,2014-05-09,365.0,367
5405,2014-05-12,370.0,1322
5406,2014-05-13,370.0,229
5407,2014-05-14,370.0,502
5408,2014-05-16,365.6,230
5409,2014-05-19,365.0,169
5410,2014-05-20,365.0,2
5411,2014-05-21,365.0,505
5412,2014-05-22,364.3,320
5413,2014-05-23,360.6,10
5414,2014-05-26,361.1,243
5415,2014-05-28,360.4,23
5416,2014-05-29,356.0,127
5417,2014-05-30,350.0,1263
5418,2014-06-02,340.0,1292
5419,2014-06-03,361.0,10915
5420,2014-06-04,370.0,4032
5421,2014-06-05,369.5,70
5422,2014-06-06,366.7,3
5423,2014-06-10,358.1,1718
5424,2014-06-16,360.0,1603
5425,2014-06-17,360.0,854
5426,2014-06-18,357.5,100
5427,2014-06-19,360.0,601
5428,2014-06-20,360.0,1005
5429,2014-06-23,360.0,8
5430,2014-06-26,360.0,57
5431,2014-06-27,360.0,5535
5432,2014-06-30,363.0,450
5433,2014-07-02,363.0,3428
5434,2014-07-03,363.0,310
5435,2014-07-07,370.0,1235
5436,2014-07-08,400.0,1942
5437,2014-07-09,407.0,402
5438,2014-07-10,408.4,205
5439,2014-07-17,400.0,501
5440,2014-07-18,390.0,23
5441,2014-07-21,390.9,736
5442,2014-07-22,391.0,5
5443,2014-07-23,395.0,548
5444,2014-07-24,394.0,878
5445,2014-07-25,390.0,1757
5446,2014-07-28,390.1,10
5447,2014-07-29,388.3,2105
5448,2014-08-04,391.0,12
5449,2014-08-05,391.5,72
5450,2014-08-06,393.0,788
5451,2014-08-07,391.6,137
5452,2014-08-08,391.5,1049
5453,2014-08-11,391.5,143
5454,2014-08-12,390.6,162
5455,2014-08-14,391.5,1700
5456,2014-08-18,393.0,453
5457,2014-08-19,392.6,700
5458,2014-08-20,391.5,50
5459,2014-08-21,391.5,141
5460,2014-08-22,391.5,25
5461,2014-08-25,389.0,26
5462,2014-08-26,378.2,56
5463,2014-08-29,385.0,50
5464,2014-09-01,385.0,1500
5465,2014-09-02,385.0,1056
5466,2014-09-03,375.0,1539
